#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
SH028	HG00502	HG00500	HG00501	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	m
SH036	HG00526	HG00524	HG00525	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH038	HG00532	HG00530	HG00531	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH039	HG00535	HG00533	HG00534	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH046	HG00561	HG00559	HG00560	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH053	HG00582	HG00580	HG00581	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH064	HG00615	HG00613	HG00614	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH072	HG00652	HG00650	HG00651	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH074xSH089	HG00658	HG00656	HG00657	1	CHS	EAS	0	1	1	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH086	HG00694	HG00692	HG00693	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH090	HG00706	HG00704	HG00705	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
VN047	HG02018	HG02020	HG02019	2	KHV	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
1328	NA12329	NA06984	NA06989	2	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
1330A	NA12335	NA12340	NA12341	1	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
1330B	NA12336	NA12342	NA12343	2	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	f
1340B	NA07029	NA06994	NA07000	1	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
1358	NA12707	NA12716	NA12717	1	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
1408B	NA10831	NA12155	NA12156	2	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
1418B	NA10837	NA12272	NA12273	1	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
1423B	NA10843	NA11919	NA11920	2	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
1444A	NA12739	NA12748	NA12749	1	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
1444B	NA12740	NA12750	NA12751	2	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
1447A	NA12752	NA12760	NA12761	1	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
1451A	NA12766	NA12775	NA12776	1	CEU	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
IBS008	HG01523	HG01521	HG01522	1	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
IBS025	HG01667	HG01669	HG01668	1	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
IBS027	HG01674	HG01675	HG01673	1	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
IBS028	HG01677	HG01678	HG01676	2	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
IBS029	HG01681	HG01680	HG01679	2	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
IBS031	HG01687	HG01686	HG01685	2	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
IBS034	HG01696	HG01694	HG01695	1	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
IBS062	HG02240	HG02238	HG02239	2	IBS	EUR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BD01	HG03008	HG03006	HG03007	1	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BD14	HG03617	HG03615	HG03616	2	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BD22	HG03816	HG03815	HG03814	2	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BD27	HG03831	HG03830	HG03829	2	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BD31	HG03909	HG03908	HG03907	1	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BD33	HG03915	HG03914	HG03913	2	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
